Universitas Kristen Maranatha,Terazza,Permata,Wibisana,Indomaret,Inti Laut,Circle K,Indomaret,BNP,BCA,Take Ichi Japanese Café,Tujuh Sebelas,The Majesty Hotel,Martabak Bolu Golden Bell,SPBU,SM Residence Pasteur,FullMar House,SPBU,Verona Palace,Sugar Rush
0,79,0,0,0,0,0,138,127,0,0,0,0,0,0,0,0,0,0,0
79,0,46,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,0,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,53,0,0,28,103,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,122,103,0,0,0,0,0,0,0,0,0,0,0,0,62,0,97
138,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,184,0,0,0
127,0,0,0,0,0,0,0,0,22,0,18,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22,0,35,13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45,0,35,0,0,232,206,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,232,0,0,168,73,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,206,0,168,0,164,184,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,73,164,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,55,0,0,0
0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,55,0,0,0,0
0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,15
0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,15,0